date,ticker,close,sma_200,drawdown_6m,zscore,buy_score,tier,trend_score,drawdown_score,zscore_score,suggested_buy_usd
2022-03-11,VOO,364.4486083984375,385.09700607299806,-0.1208650999569717,-1.6087528494517285,71,BUY,0.3,1.0,0.6435011397806913,300.0
2022-03-14,VOO,361.7872009277344,385.1060487365723,-0.12728503444653472,-1.7164615639400942,73,BUY,0.3,1.0,0.6865846255760377,300.0
2022-03-15,VOO,369.7242736816406,385.1512741088867,-0.10813896693154756,-0.8832283963911062,58,BUY,0.3,0.9011580577628964,0.35329135855644245,300.0
2022-03-16,VOO,377.9918212890625,385.2392379760742,-0.08819571712359198,-0.026069583839024524,40,DCA_ONLY,0.3,0.7349643093632665,0.01042783353560981,200.0
2022-03-17,VOO,382.61627197265625,385.3472883605957,-0.07704046533832398,0.5202684708486925,36,DCA_ONLY,0.3,0.6420038778193665,0.0,200.0
2022-03-18,VOO,386.8444213867187,385.4833451843262,-0.06684118448818277,0.9797246947783594,50,DCA_ONLY,1.0,0.5570098707348564,0.0,200.0
2022-03-21,VOO,386.8633117675781,385.6031965637207,-0.06679561649119803,1.0005731187484193,50,DCA_ONLY,1.0,0.5566301374266502,0.0,200.0
2022-03-22,VOO,391.3556518554687,385.74705078125,-0.05595904622280701,1.4551036536079773,45,DCA_ONLY,1.0,0.4663253851900584,0.0,200.0
2022-03-23,VOO,386.31591796875,385.8654264831543,-0.06811605778669838,0.9519565611317904,50,DCA_ONLY,1.0,0.5676338148891532,0.0,200.0
2022-03-24,VOO,392.0582275390625,386.0153628540039,-0.05426427008939494,1.653993073411655,45,DCA_ONLY,1.0,0.45220225074495785,0.0,200.0
2022-03-25,VOO,394.046875,386.16688186645507,-0.049467189385822175,1.8182820322872326,43,DCA_ONLY,1.0,0.4122265782151848,0.0,200.0
2022-03-28,VOO,396.76458740234375,386.32881393432615,-0.042911434291353245,1.9354967144707937,41,DCA_ONLY,1.0,0.3575952857612771,0.0,200.0
2022-03-29,VOO,401.7835083007813,386.5112634277344,-0.03080462850119925,2.1822609049414505,36,DCA_ONLY,1.0,0.25670523750999374,0.0,200.0
2022-03-30,VOO,399.2834777832031,386.6850424194336,-0.036835284205535945,1.8142753173333197,38,DCA_ONLY,1.0,0.30696070171279954,0.0,200.0
2022-03-31,VOO,393.147216796875,386.8381352233887,-0.05163737444415695,1.2228011445691287,44,DCA_ONLY,1.0,0.4303114537013079,0.0,200.0
2022-04-01,VOO,394.2362060546875,386.99732666015626,-0.049010478798918844,1.240870728832685,43,DCA_ONLY,1.0,0.40842065665765703,0.0,200.0
2022-04-04,VOO,397.5789184570313,387.19728424072264,-0.040947078182241636,1.419633520748932,40,DCA_ONLY,1.0,0.34122565151868034,0.0,200.0
2022-04-05,VOO,392.6642761230469,387.3476351928711,-0.052802339795179565,0.94625081951139,44,DCA_ONLY,1.0,0.44001949829316306,0.0,200.0
2022-04-06,VOO,388.6871032714844,387.46847915649414,-0.06239620674030921,0.5672040029831796,48,DCA_ONLY,1.0,0.5199683895025768,0.0,200.0
2022-04-07,VOO,390.6471862792969,387.6010852050781,-0.05766803014849353,0.6830818727322581,46,DCA_ONLY,1.0,0.48056691790411277,0.0,200.0
